series,episode,baker,signature,technical,showstopper,result
1,2,Ruth,Peanut Shortbread with Salted Peanut Caramel,5,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,Safe
1,3,David,Chilli Bread,4,Walnut and Seed RollRed Berry and Almond BunTomato and Herb Rolls,Safe
1,3,Edd,Olive Bread with Fennel and Cumin,1,"Tomato, Mozzarella, and Chorizo RollsChelsea BunsHot Cross Buns",Safe
1,3,Jasminder,Focaccia with Sun-Dried Tomato and Rosemary,5,Mango and Sultana BunsPain au Chocolat with Mars BarsTutti Frutti Wheels with Jelly TotsTomato and Cheese Rolls,Safe
1,3,Jonathan,"Anchovy, Sweet Paprika and Oregano Bread",6,"Sticky Lemon Honey BunsOlive and Anchovy RollsSun-Dried Tomato and Fresh Herb RollsStilton, Walnut and Braeburn Apple RollsCinnamon, Cardamom, and Sultana Chelsea Buns with Icing",Eliminated
1,3,Miranda,Walnut and Apricot Bread,3,Lemon Iced BunsChocolate and Orange BunsCranberry Buns with Icing Sugar,Safe
1,3,Ruth,Maple and Pecan Bread,2,Chocolate and Orange PanettoneCranberry Bagels,Safe
1,4,David,Pear and Walnut Pudding,5,Apple and Blackberry CrumbleRhubarb and Orange BettySuet Pear,Eliminated
1,4,Edd,Apple and Plum Pudding with Rum Caramel Sauce,3,Apple and Cinnamon CrumbleNutella Banana Brioche Bread PuddingRhubarb and Strawberry Suet Layer,Safe
1,4,Jasminder,Sticky Toffee Pudding,2,Bread & Butter PuddingTreacle Suet Pudding with Fresh FruitApple and Pineapple Crumble,Safe
1,4,Miranda,Sticky Toffee Pudding with Caramelised Walnuts,1,Queen of PuddingsChocolate Pear Roly PolyStrawberry and Rhubarb Crumble,Safe
1,4,Ruth,Peach and Blueberry Boy Bait,4,Apple & Ginger CrumbleRhubarb Suet PuddingCherry Queen of Puddings,Safe
1,5,Edd,"Chicken, Ham, Leek and Tarragon Pie",2,"Almond Sweet Tart with Ginger and Chocolate
Yorkshire Curd TartChickpea and SalamiRed and Yellow PepperAsparagus Gruyere Quiche",Safe
1,5,Jasminder,Chicken and Mushroom Pie,4,"Jaggery, Carrot, and Spiced Condensed Milk TartFruit and Custard TartThai Chili and Red OnionDuck in Plum SauceSalmon and Prawn Canapés",Eliminated
1,5,Miranda,"Summery Salmon, Cod and Prawn Fish Pie",1,Chocolate Pastry filled with Orange Cheesecake Chocolate Pastry filled with Milk Chocolate Ganache Strawberry Tart with Red Currant Glaze Cheesy CrabBroad Bean and Tomato Pastry HeartsPancetta and Leek Risotto Canapés,Safe
1,5,Ruth,Minced Beef Pie,3,Raspberry and Dark Chocolate TartCreme Patisserie and Cherry Tart Citrus Curd Tart with Creme Brulee TopRoasted Tomato CanapésAsparagus Pastry Twirls,Safe
1,6,Edd,Cinnamon and Banana Cakes,NA,Chocolate and Ginger TartsLemon Scones with Passion Fruit CurdRaspberry Choux BunsFinger Sandwiches,Winner
1,6,Miranda,Lemon Cupcakes,NA,—,Eliminated at signature
1,6,Ruth,"Mint, Ginger and Blackberry Cakes",NA,Red Pepper and Cheese Quiche TartsSultana SconesVanilla and Lemon Choux BunsFinger Sandwiches,Runner-up
2,1,Ben,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,2,Vanilla Sponge with White Chocolate and Raspberry Buttercream,Safe
2,1,Holly,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,1,Novelty Farm Cake,Star Baker
2,1,Ian,Apple and Cinnamon Cupcakes,10,NA,Safe
2,1,Janet,Raspberry and Cream Cupcakes,8,Chocolate Marble Cake with Dark and White Chocolate Truffles,Safe
2,1,Jason,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,6,NA,Safe
2,1,Joanne,Chocolate Orange CupcakesOrange and Cardamom Cupcakes,11,Chocolate and Strawberry Cake,Safe
2,1,Keith,Earl Grey Cupcakes,12,Chocolate and Sour Cream Cake,Eliminated
2,1,Mary-Anne,Banoffee Cupcakes,4,Chocolate and Raspberry Opera Cake,Safe
2,1,Robert,Blackberry and Vanilla Cupcakes with Liquorice Frosting,3,Genoise Layered Mousse Cake with Chocolate Ganache,Safe
2,1,Simon,Guinness and Chocolate Cupcakes,9,Two-Tiered Chocolate Courgette Cake,Safe
2,1,Urvashi,Cherry Blossom CupcakesJapanese Lime Cupcakes,7,Orange Blossom Celebration Cake,Safe
2,1,Yasmin,Cardamom and Pomegranate CupcakesLemon Meringue Cupcakes,5,Three Tier Passion Cake,Safe
2,2,Ben,"Chorizo, Pepper and Gruyere Quiche",1,Lemon Meringue Tarts,Safe
2,2,Holly,Pesto Quiche,4,Milk Chocolate and Pistachio TartsTrifle Tarts,Safe
2,2,Ian,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",2,NA,Safe
2,2,Janet,Quiche Printanière,8,Red Fruit TartsChocolate and Cherry Tarts,Safe
2,2,Jason,Salmon and Pak Choi Quiche,3,Mint Chocolate TartsBlueberry Bakewell Tarts,Star Baker
2,2,Joanne,"Caramelised Onion, Gruyere and Thyme Quiche",10,Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust,Safe
2,2,Mary-Anne,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",9,Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts,Safe
2,2,Robert,Smoked Bacon and Kale Quiche,5,"Chocolate, Fennel and Ginger TartAlmond, Creme Patisserie and Poached Pear Tart",Safe
2,2,Simon,Smoked Haddock and Watercress Quiche,11,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts",Eliminated
2,2,Urvashi,"Crab, Coriander and Coconut Quiche",7,Strawberry and Basil TartsElderflower and Honeycomb Tarts,Safe
2,2,Yasmin,Smoked Haddock and Watercress Quiche,6,Chocolate and Orange Tarts with Cinnamon-Orange PastryBlueberry and Hazelnut Tarts with Hazelnut Pastry,Safe
2,3,Ben,"Walnut, Raisin and Rosemary Loaf",3,NA,Safe
2,3,Holly,Picnic Loaf,6,Stilton and Walnut Rolls,Safe
2,3,Ian,"Courgette, Caerphilly Cheese and Thyme Loaf",10,Walnut and Raisin RollsCracked Wheat Logs,Eliminated
2,3,Janet,Zupfe Loaf with Gruyère Cheese,8,"Apple and Walnut Granary Rolls
Red Onion Cottage Rolls",Safe
2,3,Jason,Cheese and Onion Tear and Share Loaf,7,NA,Safe
2,3,Joanne,"Stromboli Flavoured with Mozarella, Ham, and Picante Peppers",1,Spiced Orange RollsPumpkin Seed Rolls,Safe
2,3,Mary-Anne,Ploughman's Loaf,5,Herb and Walnut BreadsChocolate and Chilli Buns,Safe
2,3,Robert,Rye and Coriander Seed Loaf,4,Blueberry Brioche RollsLemon and Poppy Seed Rolls,Safe
2,3,Urvashi,Salt and Peppercorn Loaf,9,Chilli and Halloumi RollsLemon and Coriander Mini Loaves,Eliminated
2,3,Yasmin,Egyptian Dukkah Loaf with Mixed Spices,2,Pesto BreadSweet Coconut Rolls,Star Baker
2,4,Ben,Stem Ginger Nuts,5,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons,Eliminated
2,4,Holly,Strawberry and Custard Melts,3,"'Chocolate bars of my youth'(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",Star Baker
2,4,Janet,Christmas Marzipan Biscuits,4,Raspberry MacaronsBlackcurrant MacaronsAlmond Macarons,Safe
2,4,Jason,Lebkuchen,1,"Mocktail Macarons(Mojito, Cranberry Cooler, and Piña Colada)",Star Baker
2,4,Joanne,Lavender Biscuits,8,Blueberry MacaronsCoconut MacaronsStrawberry Macarons,Safe
2,4,Mary-Anne,Melting Moments,2,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons,Safe
2,4,Robert,Chocolate and Ginger Oat Biscuits,7,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons,Safe
2,4,Yasmin,Chocolate Chip and Pistachio Biscotti,6,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons,Safe
2,5,Holly,"Stilton, Potato and Caramelised Onion Pie",4,Lime Meringue Pie,Safe
2,5,Janet,Chicken and Chestnut Pie,1,Rhubarb Meringue Pie,Star Baker
2,5,Jason,Brown Down Chicken Pie,7,Plum Meringue Pie,Eliminated
2,5,Joanne,Salmon and Asparagus Pie,6,Apple and Raspberry Meringue Pie,Safe
2,5,Mary-Anne,Chicken and Bacon Pie,2,Midnight Meringue Pie,Safe
2,5,Robert,Chicken and Mushroom Pie,3,Rhubarb & Custard Meringue Pie,Eliminated
2,5,Yasmin,Family Fish Pie,5,Peach and Raspberry Meringue Pie,Safe
2,6,Holly,Father Christmas' Baked Cheesecake,3,Hansel and Gretel's Croquembouche,Safe
2,6,Janet,Rhubarb and Ginger Baked Cheesecake,5,Orange and Nougatine Croquembouche,Safe
2,6,Joanne,Rum and Raisin Baked Cheesecake,1,Limoncello and White Chocolate Croquembouche,Star Baker
2,6,Mary-Anne,Tutti Frutti Curd Baked Cheesecake,4,Orange and Praline Croquembouche with Cardamom Caramel,Safe
2,6,Yasmin,Baked Amaretto Cheesecake,2,Rose Croquembouche,Eliminated
2,7,Holly,"White Chocolate, Hazelnut and Raspberry Génoise Mousse Cake",1,"Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits",Safe
2,7,Janet,Chocolate Amaretto Mousse Cake,4,Pain Aux RaisinPlain CroissantPain Au Chocolat,Eliminated
2,7,Joanne,Raspberry & Strawberry Mousse Cake,3,Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries,Safe
2,7,Mary-Anne,Chocolate and Orange Mousse Cake,2,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes,Safe
2,8,Holly,Banoffee Inspired Mille Feuille,2,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich,Runner-up
2,8,Joanne,Raspberry and Blueberry Mille Feuille,1,"Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse",Winner
2,8,Mary-Anne,Lemon and Ginger Mille Feuille,3,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub,Runner-up
3,1,Brendan,"Plum, sour cherry & walnut upside down cake",10,St. Patrick's Day cake with hidden Irish Flag*[12],Safe
3,1,Cathryn,"Apple, hazelnut and calvados upside down cake",5,Hidden cupcake cake,Safe
3,1,Danny,"Plum, ginger & orange upside down cake",7,Nectar cake with hidden beehive*[13],Safe
3,1,James,"Parsnip, pear, and pecan upside down cake",2,"""Simmer dim"" sunset cake",Safe
3,1,John,"Toffee apple, orange & cranberry upside down cake",11,Hidden pink hearts cake,Safe
3,1,Manisha,"Vanilla, peach and raspberry upside down cake",6,White chocolate cake with a red velvet and white chocolate mousse heart,Safe
3,1,Natasha,Pineapple & passion fruit upside down cake,12,Mother's Day layered rose cake,Eliminated
3,1,Peter,"Pear, muscat & chocolate upside down cake",3,Jubilee cake,Safe
3,1,Ryan,Kumquat and orange polenta upside down cake,8,Hidden flowerbed mousse cake,Safe
3,1,Sarah-Jane,"Pear, chocolate and hazelnut upside down cake",1,Hidden crown cake,Safe
3,1,Stuart,Tomato and ginger upside down cake,9,Lemon and pistachio Union Flag cake,Safe
3,1,Victoria,Pear and pecan upside down cake,4,Blackbird pie cake,Star Baker
3,2,Brendan,Middle Eastern Taboon BreadIndian Roti,4,Chocolate and Vanilla BagelsCumin and Gruyere Bagels,Safe
3,2,Cathryn,"Spiced Mango NaanLime, Coriander and Chilli Tortillas",8,"Cranberry and Orange BagelsChipotle, Chilli, and Smoked Cheddar Bagels",Safe
3,2,Danny,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,3,NA,Safe
3,2,James,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones",2,"Orange, Mint and Chocolate Bagels'Millers' Sourdough Bagels",Safe
3,2,John,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas",1,"Fig, Walnut and Gruyere BagelsBlueberry and White Chocolate Bagels",Star Baker
3,2,Manisha,Indian FlatbreadsItalian Flatbreads,6,Chocolate Orange Bagels,Safe
3,2,Peter,Fennel and Nigella seed NaanBannock Bread,11,Rosemary and Sea Salt BagelsApple and Cinnamon Bagels,Eliminated
3,2,Ryan,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,5,Cinnamon and Date BagelsTarragon and Rosemary Bagels,Safe
3,2,Sarah-Jane,Toasted Coconut and Lime RotiOatcakes,10,NA,Safe
3,2,Stuart,Bombay BreadChorizo and Spring Onion Naan,9,Cinnamon and Cranberry BagelsTomato and Thyme Bagels,Safe
3,2,Victoria,Coriander and Lemon NaanGarlic and Parsnip Chapatis,7,Saffron and Golden Raisin BagelsPorcini Bagels,Safe
3,3,Brendan,Apple and Ginger Tarte Tatin,9,"Blackberry, Nectarine and Dragon Fruit Tart",Safe
3,3,Cathryn,"Plum, Cherry and Five Spice Tarte Tatin",3,"Raspberry, Pistachio and Lemon Tart",Safe
3,3,Danny,Savoury Pear and Roquefort Tarte Tatin,2,"Pineapple, Coconut and Frangipane Tart",Safe
3,3,James,Apple and Lavender Tarte Tatin,1,"Rose, Lychee and Raspberry Fruit Tart",Star Baker
3,3,John,Apple and Vanilla Tarte Tatin with Walnut Praline,6,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart",Safe
3,3,Manisha,"Cinnamon, Apple and Pear Tarte Tatin",10,Rum and Tropical Fruit Tart,Safe
3,3,Ryan,Spiced Pear Tarte Tatin,5,NA,Safe
3,3,Sarah-Jane,Caramelised Banana Tarte Tatin,8,French Apple Tart with Blackberry and Cassis Jam,Safe
3,3,Stuart,Pear and Almond Tarte Tatin,7,Raspberry Triple Chocolate Layered Tart,Safe
3,3,Victoria,"Fig, Walnut and Pink Peppercorn Tarte Tatin",4,Tropical Fruit Tart with Black Pepper Crust,Eliminated
3,4,Brendan,Clementine and Chestnut Torte,1,"Pear, Chocolate and Hazelnut Dacquoise",Star Baker
3,4,Cathryn,"White Chocolate, Macadamia and Coffee Torte",3,"Gooseberry, Almond and Honey Meringue",Safe
3,4,Danny,"Blackberry, White Chocolate, Lemon and Elderflower Torte",2,"'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise",Safe
3,4,James,"Hazelnut, Chocolate and Passionfruit Torte",5,"Fig, Chestnut, Cherry and Chocolate Layered Meringue",Safe
3,4,John,'Torte Noir' Black Forest Torte with Boozy Cream,6,Elderflower and Bramble Berry Pavlova,Safe
3,4,Manisha,"Almond, Chocolate and Cherry Torte",9,Tiramisu Layered Meringue Dessert,Safe
3,4,Ryan,Green Tea Opera Torte,7,"Strawberry, Rose and Pistachio Meringue",Safe
3,4,Sarah-Jane,Chocolate and Almond Truffle Torte,4,Hazelnut Tiramisu Layered Meringue,Safe
3,4,Stuart,Black Forest Torte,8,Choca Blocka Mocha Meringue,Eliminated
3,5,Brendan,Salmon Coulibiac in a Scandinavian Pastry,3,All American Chiffon Pie,Safe
3,5,Cathryn,Full English Wellington,1,Chocolate and Peanut Butter Pumpkin Pie,Safe
3,5,Danny,"Chickpea, Spinach & Mushroom Wellington",7,Trick or Treat Pumpkin Pie,Safe
3,5,James,Four Pig Wellington,6,Sweet Potato Pie,Safe
3,5,John,Venison and Haggis Wellington,2,Star Spangled Pecan Pie,Safe
3,5,Manisha,Lamb Wellington with Rosemary and Mint,5,Banana Scotch Pie,Eliminated
3,5,Ryan,Curry Spiced Seabass Wellington,8,Key Lime Pie,Star Baker
3,5,Sarah-Jane,Beef Wellington with Parma Ham and Gorgonzola Cheese,4,Chocolate and Banana Cream Pie,Safe
3,6,Brendan,"Rhubarb, Strawberry and Ginger PuddingsSticky Toffee Puddings",1,"Spinach, Cheese and Walnut Strudel",Star Baker
3,6,Cathryn,Chocolate Walnut Whip PuddingsElderflower Sponges,3,Roasted Vegetable Couscous and Sheep Cheese Strudel,Safe
3,6,Danny,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,2,"Leek, Potato, Pistachio and Gruyère Strudel",Safe
3,6,James,Banana and Clove PuddingsClootie dumplings,7,"Strawberry, Rhubarb and Ginger Strudel",Safe
3,6,John,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,5,Did not complete due to injury,Safe[a]
3,6,Ryan,Chocolate FondantsSticky Ginger and Date Puddings,6,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel",Safe
3,6,Sarah-Jane,Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,4,Sweet Strudel with Sour Cherries,Safe
3,7,Brendan,Chelsea Bunskis,4,Black Forest Christmas Stollen,Safe
3,7,Cathryn,Lady Arundel's Manchet Buns,5,Bonfire Night Tear 'N' Share Brioche,Safe
3,7,Danny,Bakewell Chelsea Buns,2,European Christmas Wreath,Star Baker
3,7,James,Easter Chelsea Buns,1,Whisky Kugelhopf-Brioche Baba,Safe
3,7,John,Cherry and Almond Saffron Buns,3,Marzipan Stollen,Safe
3,7,Ryan,Lardy Cakes,6,Char Siu Bao,Eliminated
3,7,Sarah-Jane,"Orange, Nutmeg and Saffron Buns",7,Sour Cherry and Dark Chocolate Christmas Plait,Eliminated
3,8,Brendan,Multi-Seed Savoury Crackers,2,Fantasy Gingerbread Bird House,Safe
3,8,Cathryn,Cheese and Pickle Crackers,5,Gingerbread Buckingham Palace,Eliminated
3,8,Danny,Spiced Almond Drinks Crackers,4,Gingerbread Big Ben,Safe
3,8,James,"Smoky Cayenne, Cumin and Chilli Crackers",1,Gingerbread Barn,Star Baker
3,8,John,Asian Spice Crackers,3,Gingerbread Roman Coliseum,Safe
3,9,Brendan,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,3,Gateau St. Honoré,Safe
3,9,Danny,Blackberry and Peppermint MacaronsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,4,Rosewater and Lychee Gateau St. Honoré,Eliminated
3,9,James,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macarons",1,"Coffee, Caramel and Hazelnut Paris–Brest",Star Baker
3,9,John,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macarons,2,Gateau St. Honoré a la Passion,Safe
3,10,Brendan,Potato and Pepper Pithivier,2,Family Reunion Chiffon Cake,Runner-up
3,10,James,Spanish Pithivier with Chorizo and Red Pepper,1,United Chiffon Cakes,Runner-up
3,10,John,Italian Sausage and Roasted Vegetable Pithivier,2,Heaven and Hell Chiffon Cake,Winner
4,1,Ali,Rose and Pistachio Cake,11,"Chocolate, Raspberry and Passion Fruit Engagement Cake",Safe
4,1,Beca,Grapefruit Sandwich Cake,8,Chocolate Cherry Indulgence,Safe
4,1,Christine,"Strawberry, Vanilla and Rosewater Summer Basket",3,Chocolate and Orange 'Fripperous' Hat Cake,Safe
4,1,Deborah,Pineapple Cake,9,'Coffee Time',Safe
4,1,Frances,Giant Jam Sandwich,7,Secret Squirrel Cake,Safe
4,1,Glenn,Strawberries and Cream Cake,4,Almond and Espresso Chocolate Cake,Safe
4,1,Howard,Passion Fruit and Coconut Cake,6,Black Forest Revisited,Safe
4,1,Kimberley,Blood Orange Cake,10,"Chocolate, Raspberry & Basil Layer Cake",Safe
4,1,Lucy,Timperley Early Cake,2,Thyme 'Wildwood' Cake,Safe
4,1,Mark,Lemon and Poppy Seed Cake,5,Chocolate Monster,Safe
4,1,Robert,Pecan and Apple Cake,1,Raspberry Chocolate Cake,Star Baker
4,1,Ruby,Rhubarb and Custard Sandwich Cake,12,Chocolate and Ginger Night Sky Cake,Safe
4,1,Toby,Spiced and Iced Carrot Cake,13,Two Tiered Chocolate Cake,Eliminated
4,2,Ali,Italian Grissini,9,Sweet and Savoury Yin Yang Bread,Safe
4,2,Beca,Fennel and Chilli Breadsticks,11,Five Strand Christmas Wreath,Safe
4,2,Christine,Mediterranean Breadsticks with Oregano,4,Double Plaited Loaf,Safe
4,2,Deborah,Fennel & Chilli Breadsticks,8,Walnut Fleur Loaf,Safe
4,2,Frances,Giant Matchsticks,2,Sailor's Knot,Safe
4,2,Glenn,Rosemary and Parmesan Grissini,7,Harvest Crown,Safe
4,2,Howard,Moroccan Breadsticks,10,Picasso Sun Bread,Safe
4,2,Kimberley,Nigella Seed and Parmesan Breadsticks,1,Peace Bread,Safe
4,2,Lucy,Grissini with Salt,12,Roasted Tomato Bread,Eliminated
4,2,Mark,Rosemary & Raisin Breadsticks,6,Sage & Garlic Plait,Safe
4,2,Robert,Twisty Rye Bread Sticks,5,Tribute Loaf,Safe
4,2,Ruby,Mexican Breadsticks,3,White Chocolate and Orange Peacock Bread,Star Baker
4,3,Ali,"Coconut, Raspberry and Lemon Meringue Trifle",5,Vanilla Latte Mini CakesLime & Mint Shortbread Pops,Safe
4,3,Beca,Orange and Ginger Trifle,10,Limoncello and Blueberry BurstsMillionaires' Shortbread,Safe
4,3,Christine,Caribbean Pina Colada Trifle,4,Ninety-NinersSachertorte Parcels,Star Baker
4,3,Deborah,Tropical TrifleA,9,Canelé Cherry and Chocolate CakesRose Cookies,Eliminated
4,3,Frances,Apple and Blackberry Crumble Trifle,8,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes,Safe
4,3,Glenn,Raspberry and Almond Trifle,1,Billionaire BouchéesOrange Financiers,Safe
4,3,Howard,Caramel and Apple TrifleA,7,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits,Safe
4,3,Kimberley,"Peach, Almond and Ginger Trifle",6,Chocolate Pistachio FinanciersLemon Bergamot Biscuits,Safe
4,3,Mark,"Ginger, Mango and Passion Fruit Trifle",11,Rose and Pistachio MacaronsChocolate and Raspberry Bites,Eliminated
4,3,Robert,Rhubarb and Orange Trifle,2,Almond FriandsTurón Macarons,Safe
4,3,Ruby,Desert Island Trifle,3,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes,Safe
4,4,Ali,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,8,"Orange, Cardamom and Date M'Hanncha",Eliminated
4,4,Beca,Mamgu's Cherry-Apple Tart,2,Moroccan Vegetable Filo Feast,Safe
4,4,Christine,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",7,Roasted Vegetable Filo Pie with Feta Cheese,Safe
4,4,Frances,Peach Pie In the Sky,1,Cherry Tree Baklava Filo Pie,Safe
4,4,Glenn,Apple & Maple Syrup Pie,9,Spanakopita,Safe
4,4,Howard,Apple Pie with Sage Pastry,5,Fresh Fig and Feta Filo Flan,Safe
4,4,Kimberley,Pecan and Rosemary Caramel Apple Pie,4,"Chicken, Bacon and Butternut Squash Pie",Star Baker
4,4,Robert,Apple and Pear Pie with Thyme,3,Spanakopita with St George's Mushrooms,Safe
4,4,Ruby,Apple and Marzipan Pie,6,"Rose, Almond and Raspberry Filo Pie",Safe
4,5,Beca,"Chocolate, Cherry and Hazelnut Brownies",5,Tiered Macaron and Sugar Dough Biscuit Centrepiece,Safe
4,5,Christine,Mixed Berry and Almond Crumble Traybake,1,Shortbread Bavarian Clock Tower,Star Baker
4,5,Frances,Millionaire Banoffee Bonus,3,Biscuit Buttons and Beads[a],Safe
4,5,Glenn,Apricot and Pistachio Tiffin,2,Shortbread and Macaron Helter-Skelter,Safe
4,5,Howard,Breakfast Traybake,8,Japanese Pagoda Tea Tower,Safe
4,5,Kimberley,Cherry and Almond Bakewell Florentine Slice,7,Black and White Viennese Biscuit Stack,Safe
4,5,Robert,Blueberry & Orange Traybake,4,Orange and Lemon Biscuit Dalek,Eliminated
4,5,Ruby,Blackberry and Lemon Bakewell Slice,6,'Dropped Ice Cream' Biscuit Centrepiece,Safe
4,6,Beca,Bara Brith,6,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns,Safe
4,6,Christine,Oxford Nutty Fruit Loaf,4,Schnecken BunsVanilla Custard Skolebrød,Safe
4,6,Frances,Chai Tea Loaf,2,Hot Cross BriochesRhubarb and Custard Kolaches,Safe
4,6,Glenn,Devonshire Panettone,5,Almond and Apricot BriochesSticky Caramel Kanelbullen,Safe
4,6,Howard,Date & Hemp Yorkshire Loaf,7,Peachy BunsGerman Baumschnecken,Eliminated
4,6,Kimberley,Chai Spiced Ginger and Date Tea Loaf,3,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer,Safe
4,6,Ruby,Citrus Tea Loaf,1,Twisted Swedish KanelbullarSaffron St. Lucia Buns,Star Baker
4,7,Beca,Spring Lamb and Vegetable Suet Pudding with Redcurrant Gravy,1,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille,Safe
4,7,Christine,Spotted Dick 'With a Kick' and Vanilla Custard Ice Cream,6,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille,Safe
4,7,Frances,Figgy Roll-y Poly Pudding with Caramelised Walnut and Honey Ice-Cream,5,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers,Star Baker
4,7,Glenn,Prune and Armagnac Pudding with Boozy Butterscotch Sauce,3,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille,Eliminated
4,7,Kimberley,Barberry and Apple Spotted Dick with Maple Syrup and White Chocolate Custard,4,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûlee Custard TartsFig, Orange and Thyme Galette",Safe
